split,repeat,point,true_Strength,mu_Strength,sigma_uc_Strength,resid_Strength,true_Toughness,mu_Toughness,sigma_uc_Toughness,resid_Toughness,sigma_cal_Strength,sigma_cal_Toughness
0,0,3,18.49277387277017,23.736386223624216,9.66768451057979,-5.243612350854047,14.049413234617568,16.023272577337217,5.393215685383556,-1.9738593427196491,7.38506753456128,4.114769396128516
0,0,9,94.62319761567007,95.42808852740407,1.0596962182674445,-0.804890911734006,4.847187637262277,4.926844860980804,1.8097603110250655,-0.07965722371852735,2.006538478164392,2.105694004485129
0,0,12,61.933831883918,53.53206135600427,12.767348608994673,8.401770527913733,2.7615194056182433,7.966815098136889,5.3949947281156785,-5.205295692518646,9.321830556565374,4.115766821964865
0,0,17,99.8683907227732,99.30490150552389,5.2592324691961405,0.5634892172493124,6.0320034789695995,6.706031980063964,3.748747862013458,-0.6740285010943641,4.6305345829435325,3.1927934005787786
0,0,21,91.92165931955867,94.16473935654061,1.0636877754104708,-2.2430800369819366,4.122110394865796,4.578412294735151,1.8205011172424763,-0.4563018998693549,2.0090325226896626,2.1117158708692396
0,0,28,94.71421913113033,93.99313392900704,4.724997707655237,0.721085202123291,4.434601146470383,5.98070053997155,3.1082369162788765,-1.5460993935011667,4.29672869354064,2.833688948389542
0,0,37,33.62346313487976,41.899833985227,17.610142566662734,-8.276370850347234,22.885255128649302,19.93716241073267,5.292026588228635,2.94809271791663,12.347753354197799,4.058037414351581
0,0,41,86.1572725747117,73.08003476658439,7.104205574328419,13.077237808127308,24.46021001385732,24.915115828850723,3.29412003229915,-0.45490581499340266,5.783329070720315,2.937904895039967
0,0,63,62.83244503940233,72.71352154239001,7.138140476566124,-9.881076502987682,24.314295670270337,21.686372920263068,2.5166896722181584,2.6279227500072686,5.804532614627838,2.5020361477042226
0,0,70,16.3011911471622,17.138444920289636,10.291689782051169,-0.8372537731274363,15.553481880829267,13.355417683121782,4.1787689741233764,2.1980641977074846,7.774964728886118,3.4338860734244174
0,0,75,63.28835250491195,71.19866718456107,4.714779499166931,-7.910314679649126,18.9934879839535,19.996562598227033,1.3503691409710532,-1.0030746142735332,4.290344050649367,1.848134917382222
0,0,76,67.1327722479398,64.951955216063,10.698312790314555,2.180817031876799,10.775944631568295,15.822467482249857,3.7243625280010346,-5.046522850681562,8.029034970465947,3.1791216872844177
0,0,77,16.484240804319526,31.28678388292864,8.491883375378785,-14.802543078609112,16.613986733013075,17.30498571188507,2.2490555435652992,-0.6909989788719955,6.6503917479003025,2.351986241770445
0,0,91,48.83200749593603,43.43667146826365,13.501970867368195,5.395336027672386,1.8618713309090102,5.892802500031028,7.702958845948546,-4.0309311691220175,9.780844559368633,5.4097340768979745
0,0,94,68.81050163065262,67.61215698527471,0.9347566092359145,1.1983446453779152,12.446708860384476,11.091401570775453,0.7537043372728307,1.3553072896090228,1.9284724661472643,1.5136129409827166
0,0,99,76.35579220454977,67.05690404903373,11.030725538192169,9.298888155516039,10.67473266747813,14.302021638319474,3.851204937795363,-3.6272889708413434,8.236736417361874,3.250236278513324
0,0,100,26.590473482268628,41.263986798935676,9.42587475500821,-14.673513316667048,17.3409152302523,16.126186708193966,2.460543951025775,1.2147285220583335,7.23397755252407,2.4705578746382764
0,0,112,69.86265452997606,64.99070552107443,12.896606215610355,4.871949008901623,15.447604729134476,14.533683952209804,3.6235663575625345,0.9139207769246713,9.402594582878425,3.1226100010921107
0,0,117,26.151753430429398,26.768687047135785,14.015041486671004,-0.6169336167063868,19.496886376894068,17.92487462378782,6.383388376104131,1.5720117531062492,10.101426458436528,4.669912792259173
1,0,5,106.02724465602475,90.18336409071722,15.595411051962541,15.84388056530753,5.360247481788985,9.377342291334127,4.463599074369432,-4.017094809545142,11.088888724661626,3.5935769542704254
1,0,8,98.04053105918149,96.30127418200956,1.9719512869718678,1.7392568771719255,4.160788629019243,5.584068069694981,0.9524510284210332,-1.4232794406757376,2.576542784310356,1.6250408910036889
1,0,23,23.16444205795815,50.65077838889089,14.05745464574618,-27.48633633093274,17.8525156358467,5.50934570897551,6.129625267002323,12.343169926871191,10.127927471299563,4.527639716542518
1,0,30,93.48940821225624,93.85784525175671,1.686723991381389,-0.3684370395004777,3.98125478783674,5.11620377736386,0.9290409892349194,-1.1349489895271199,2.398324222096351,1.6119159797845424
1,0,33,20.551007181485623,23.09315977490332,10.193683243342463,-2.542152593417697,17.6341476127744,20.137221020619823,2.2439202584414724,-2.5030734078454238,7.713727306359367,2.349107128207269
1,0,34,20.51884998427476,38.218365844682616,13.079384959269705,-17.699515860407857,18.09916668244404,9.271855425314596,4.926948641219248,8.827311257129443,9.516800219582358,3.853355328838084
1,0,52,56.484914849706776,46.50540065100675,12.846144549972841,9.979514198700024,21.09007756483452,20.785386023570087,3.6468776439928505,0.30469154126443243,9.371064621910897,3.1356795462718337
1,0,54,17.02894957415735,17.590957352463867,6.517857846966135,-0.5620077783065156,16.996076659902027,16.205524329267096,3.1894742595019463,0.7905523306349309,5.4169614385074745,2.8792349173221607
1,0,57,43.50616172761773,35.01498394755214,10.12729650947129,8.491177780065591,11.167872475426345,12.53134314428748,4.617227368336401,-1.3634706688611349,7.672246885503743,3.6797091347010102
1,0,60,77.430549346183,61.878158607201634,20.999855818203482,15.552390738981366,5.28813934914015,12.302619285132597,6.277057711236722,-7.014479935992447,14.465747779509448,4.610298174566205
1,0,67,18.70656102176115,19.3462131051506,7.085961224573578,-0.6396520833894499,16.475500264086424,18.121360197933658,4.913577221063255,-1.645859933847234,5.771929454231627,3.8458586005743647
1,0,68,37.61040536196327,32.6872156589264,11.49272461921066,4.9231897030368685,22.542665474583867,14.687966483259245,5.7832352634368025,7.8546989913246215,8.525407288755346,4.333435084595807
