L0Bar,L0Y,mu_Strength,sigma_uc_Strength,sigma_cal_Strength,mu_Toughness,sigma_uc_Toughness,sigma_cal_Toughness,p_Bar_dominant,p_Balanced,p_Y_dominant,p_Expanded,type,type_name,feasible
1.0,1.0,19.208769642885102,10.531271268627105,7.924662421676228,18.08112295313159,4.934629921013843,3.8576618622254046,0.10738802765510176,0.12779839716529276,0.17347711429321433,0.5913364608863911,4,Expanded,False
1.02,1.0,19.050725096226994,9.986128289579177,7.584040751068402,18.1669404878697,4.75294454341015,3.7557993906632015,0.10933671815543303,0.10529204662739741,0.17589479222678792,0.6094764429903816,4,Expanded,False
1.04,1.0,18.91182208974176,9.133419565869584,7.051242785809652,18.269718912555728,4.453237286914039,3.5877675859330855,0.11240204233863282,0.08831457448349962,0.17847998929162145,0.6208033938862461,4,Expanded,False
1.06,1.0,18.79185946502406,8.029906864774578,6.361734979178085,18.39454432023043,4.060475366309689,3.3675643945923657,0.1174149554989983,0.0757917224766771,0.18161234285500777,0.6251809791693168,4,Expanded,False
1.08,1.0,18.7253837516075,6.818728074458288,5.604954173374054,18.536234835767218,3.6281597462420225,3.1251852987297615,0.12568772340433298,0.06664703567909518,0.1856453187108401,0.6220199222057318,4,Expanded,False
1.1,1.0,18.76493331457474,5.651997426323296,4.87594589886383,18.687552259340677,3.2072445190056214,2.8891978685360686,0.1396449901173492,0.06003659164545746,0.1909847506267564,0.609333667610437,4,Expanded,False
1.12,1.0,18.95387605975676,4.592364606239978,4.2138555569171725,18.85227370111148,2.8147229006520544,2.669129403399018,0.16425965404403595,0.05536160091489016,0.19809644597689072,0.5822822990641832,4,Expanded,False
1.1400000000000001,1.0,19.316142546852966,3.6239170638052913,3.6087405091617017,19.050888599175746,2.4427436811194956,2.460578097998887,0.21009782761576973,0.052076310176029914,0.2069369501249642,0.5308889120832362,4,Expanded,False
1.1600000000000001,1.0,19.867747625051717,2.7555608889799754,3.066165547510006,19.31638781414937,2.0869737837805773,2.261114599458997,0.2964126622976371,0.04911411824793322,0.21440494765001203,0.4400682718044177,4,Expanded,False
1.1800000000000002,1.0,20.637789420653114,2.163984215390417,2.6965307129889506,19.685601087196122,1.764718040803411,2.0804409157112027,0.4330770354029017,0.044642652280048156,0.21211205091566812,0.31016826140138204,1,Bar-dominant,True
