kappa,L0Bar,L0Y,mu_Strength,sigma_uc_Strength,sigma_cal_Strength,mu_Toughness,sigma_uc_Toughness,sigma_cal_Toughness,p_Bar_dominant,p_Balanced,p_Y_dominant,p_Expanded,type,type_name,feasible,lcb_Strength,lcb_Toughness
0.0,1.0,2.120000000000001,102.80253183509835,5.246260802401177,4.62242949678433,5.109146937693673,1.736984826528689,2.0648922029438523,0.08323088254564602,0.0096067511766902,0.737691088855238,0.1694712774224257,3,Y-dominant,True,102.80253183509835,5.109146937693673
0.0,1.04,2.120000000000001,102.55155723874535,5.001009278364838,4.469188994664556,5.137739244158206,2.0214538168501703,2.2243806263884567,0.08459825286478116,0.008487912068113218,0.7653381881264459,0.1415756469406597,3,Y-dominant,True,102.55155723874535,5.137739244158206
0.0,1.0,2.100000000000001,102.27980539060557,6.694891911541882,5.527577627558648,5.4127378525185375,2.781401483060362,2.650447647076009,0.08272392188576999,0.009014735670313198,0.7479400851870983,0.16032125725681845,3,Y-dominant,True,102.27980539060557,5.4127378525185375
0.0,1.02,2.100000000000001,102.04765366465485,7.070282693655861,5.762133038246969,5.462407048851093,2.9406406078112908,2.739725557221938,0.08343027193536057,0.008445736796169272,0.7625543849799112,0.1455696062885589,3,Y-dominant,True,102.04765366465485,5.462407048851093
0.0,1.04,2.100000000000001,101.5935926828077,7.451341696876691,6.0002301233528215,5.561541069388187,3.123530508197994,2.842263348225632,0.08410465996359794,0.007923139868035663,0.7764577852775723,0.1315144148907942,3,Y-dominant,True,101.5935926828077,5.561541069388187
0.0,1.0,2.080000000000001,101.45987717326484,10.021291581615618,7.606011829735582,5.756720337862179,3.5978893379868215,3.1082141002726273,0.08226278389312039,0.008479386867775541,0.7585049226888141,0.15075290655029,3,Y-dominant,True,101.45987717326484,5.756720337862179
0.0,1.02,2.080000000000001,101.07385764455589,10.319497238846354,7.792339661248768,5.850550121024949,3.7193503712223275,3.1763116060105685,0.08297040662475431,0.007922528064042693,0.7735387103190768,0.13556835499212616,3,Y-dominant,True,101.07385764455589,5.850550121024949
0.0,1.0,2.060000000000001,100.74208794509752,12.037276423709443,8.865659575788056,6.063973724333349,3.978070632150461,3.3213639243035855,0.08182592364199202,0.007996371343132476,0.7691547073946624,0.1410229976202131,3,Y-dominant,True,100.74208794509752,6.063973724333349
0.0,1.02,2.060000000000001,100.14293478759615,12.215618216820744,8.97709287281934,6.240862296092866,4.0155900949952485,3.342399327743662,0.08252266160345043,0.007449918001943907,0.7845011404051508,0.12552627998945487,3,Y-dominant,True,100.14293478759615,6.240862296092866
0.0,1.0,2.040000000000001,99.91306812708646,13.280167746685583,9.642255322385543,6.458236418577196,4.093648294914054,3.3861629001031828,0.08139438163984715,0.007562165757818408,0.7796566207091753,0.13138683189315917,3,Y-dominant,True,99.91306812708646,6.458236418577196
0.0,1.04,2.060000000000001,99.13340726698844,12.411754122732006,9.099644464796826,6.578163323507363,4.0059709514480195,3.3370063250212874,0.0831710261201406,0.0069493995100689265,0.7988741046142643,0.11100546975552611,3,Y-dominant,True,99.13340726698844,6.578163323507363
0.0,1.02,2.040000000000001,98.92457926065816,13.442334133030146,9.743581740510912,6.843246294509053,4.078512181547713,3.3776767911070897,0.08206650815969771,0.007024512808449814,0.7951797521183038,0.11572922691354859,3,Y-dominant,True,98.92457926065816,6.843246294509053
0.0,1.0,2.020000000000001,98.6663879609185,14.103684619801932,10.156813344547949,7.181828253918224,4.268115080945179,3.483978245867603,0.08095390022946632,0.00717412277602508,0.7897954843414169,0.12207649265309167,3,Y-dominant,True,98.6663879609185,7.181828253918224
0.0,1.06,2.060000000000001,97.44835097433334,12.73245084601934,9.300025388413168,7.216475071282952,3.9426814982116793,3.301522896384909,0.0837462945078713,0.006491067773853648,0.8119355853103689,0.09782705240790619,3,Y-dominant,True,97.44835097433334,7.216475071282952
0.0,1.04,2.040000000000001,97.27057767579024,13.746165999784314,9.933424996345268,7.536957859189739,4.052016185007661,3.362821728307482,0.082680048287859,0.006532804699048772,0.8095499417367038,0.10123720527638838,3,Y-dominant,True,97.27057767579024,7.536957859189739
0.0,1.02,2.020000000000001,96.99292465623272,14.499235789286681,10.403965569448802,7.9402666523038805,4.330376275907995,3.5188851783074964,0.08158862963171104,0.006643944461527052,0.8053514721698287,0.10641595373693319,3,Y-dominant,True,96.99292465623272,7.9402666523038805
0.0,1.0,2.000000000000001,96.57023047320502,15.315423874547731,10.913944345324003,8.412206426678967,4.75076969188386,3.7545800533963796,0.08049586185122255,0.006830419548170751,0.7993826672957299,0.11329105130487672,3,Y-dominant,True,96.57023047320502,8.412206426678967
0.0,1.06,2.040000000000001,94.49403259716766,14.40190053110712,10.343147583114154,8.739830366139552,4.038307910199982,3.3551361414364798,0.0832158334615194,0.006083702427281159,0.8224467644788499,0.0882536996323496,3,Y-dominant,True,94.49403259716766,8.739830366139552
0.0,1.04,2.020000000000001,94.23254731236327,15.291798398473988,10.89918243984519,9.176438253322797,4.394612532596687,3.554899435241739,0.08215314267344132,0.006159882472917083,0.8195336960065146,0.092153278847127,3,Y-dominant,True,94.23254731236327,9.176438253322797
0.0,1.02,2.000000000000001,93.75916427407753,16.337895291679402,11.552815129022607,9.669212082609238,4.826431249003562,3.796999940522734,0.08108425068340293,0.0063067971391227015,0.8148461219398943,0.09776283023758012,3,Y-dominant,True,93.75916427407753,9.669212082609238
0.0,1.0,1.9800000000000009,92.87607762358948,17.884990024703427,12.519486282839084,10.167246222362637,5.1627628633788705,3.9855653053123237,0.08001674499981769,0.006529913937812203,0.8082489040139527,0.10520443704841738,3,Y-dominant,True,92.87607762358948,10.167246222362637
0.0,1.08,2.040000000000001,89.77985253900634,15.491460643677577,11.023937394292796,10.695747130038951,4.098426632138796,3.38884188971748,0.08366099105764886,0.005674706575289225,0.8335431924293241,0.07712110993773783,3,Y-dominant,True,89.77985253900634,10.695747130038951
0.0,1.06,2.020000000000001,89.59848190006802,16.433802865427406,11.61274105533838,11.106754751632682,4.434340546068862,3.5771730694543913,0.08263546707388064,0.005719054849755215,0.8320444353655376,0.07960104271082652,3,Y-dominant,True,89.59848190006802,11.106754751632682
0.0,1.04,2.000000000000001,89.10250960976418,17.56202839677671,12.317690178927508,11.567613505848602,4.769206029389778,3.7649164433121616,0.08159003812644636,0.005829638513995639,0.8286713509264232,0.08390897243313478,3,Y-dominant,True,89.10250960976418,11.567613505848602
0.0,1.02,1.9800000000000009,88.06954920561903,19.081783883325876,13.267278952221192,12.039361677092469,4.962675787696832,3.873385864537054,0.08055644828321185,0.006012424030760008,0.823538233967842,0.08989289371818619,3,Y-dominant,True,88.06954920561903,12.039361677092469
0.0,1.0,1.9600000000000009,86.36476280219205,21.002466482427117,14.467379000754933,12.508134399365243,4.976076698815039,3.8808991270003848,0.07951629790083585,0.006271963376407504,0.8162198416128831,0.09799189710987358,3,Y-dominant,True,86.36476280219205,12.508134399365243
0.0,1.08,2.020000000000001,81.88920533856862,17.058228510374565,12.00290091160899,13.91211587872892,4.29730367084443,3.5003429195015965,0.08303347256344587,0.005319455733245823,0.8425863440110749,0.06906072769223338,3,Y-dominant,True,81.88920533856862,13.91211587872892
0.0,1.06,2.000000000000001,81.45971411095056,18.047292897784285,12.620897981967637,14.281357884453445,4.430016349940122,3.574748695456865,0.08201006375122992,0.00539655393768379,0.8405821036409357,0.0720112786701506,3,Y-dominant,True,81.45971411095056,14.281357884453445
