model,mean,std,min,max
GPC,0.9416666666666667,0.037049218269741675,0.8888888888888888,1.0
k-NN,0.8430555555555556,0.06130683701763784,0.75,0.9722222222222222
SVM,0.9583333333333334,0.031863296370911356,0.9166666666666666,1.0
RF,0.7486111111111111,0.05517044886123694,0.6944444444444444,0.8611111111111112
