model,xB (cm),xY (cm),yY (cm),thetaB (deg),thetaY (deg)
GPR,0.11444692572152987,0.10323109907974067,0.09820009226083656,3.206408661950022,3.1658758310133766
k-NN,0.13191815608943355,0.10523977739967962,0.10247517457702246,2.094669682484898,2.689428017637852
RF,0.13520757671832928,0.10707224957169093,0.10116197856392238,4.305382701387979,4.087714839470216
PRSM,0.12615050514095957,0.14393932544543092,0.1027764104318213,8.228842676796791,7.575727948836087
