model,mean,std,min,max
GPR,0.8014169508633465,0.016111029087306633,0.765610818225524,0.8308780339289812
k-NN,0.8165400129169174,0.016456998771757894,0.7802326869356068,0.8447253699531615
RF,0.7781916337879833,0.017786280620673344,0.7439569901988676,0.8115535093520081
PRSM,0.6463940759588495,0.029182791900898793,0.5641248379147403,0.7014328752358377
