Property,Uncertainty estimate,r-stat mean,r-stat s.d.,RvE slope,RvE intercept,RvE R2,a,b
Strength,uncalibrated,-0.07950124516826063,0.9052746586027792,0.6213407435520929,1.3393173382673045,0.903134074079947,,
Strength,calibrated,-0.08682210520837666,0.9975512451226496,0.9944157203486514,0.0024163682938072874,0.9031340740799471,0.6248299688325976,1.3444085231323233
Toughness,uncalibrated,0.10725220695634248,1.688206249170434,0.6374243948886654,0.7794479808061123,0.8419163737912562,,
Toughness,calibrated,0.012830932095858597,1.0012500031577307,1.1369318857380348,-0.46099730335176536,0.8419163737912562,0.5606531076176864,1.0910462620657753
