n,draw,R2_Strength,RMSE_Strength,R2_Toughness,RMSE_Toughness
20,0,0.03615316340279051,24.869087624902214,-1.014581132632033,9.238182769046894
20,1,0.6943886769176977,14.003627823071307,0.1606952679164142,5.962851652436743
20,2,-0.2856022329529473,28.72163431376756,0.27156398858756947,5.555074309598874
20,3,-0.11878551910980573,26.793488216123627,-0.13244186238622735,6.926313210775412
20,4,0.3805073625829172,19.93764752953071,0.2267090566497163,5.723551974040671
20,5,0.4065334138619183,19.51434484826695,-0.06475641576042945,6.7161332145228805
20,6,0.43229547918410116,19.086092123566573,-0.6464276315292303,8.351519356646191
20,7,0.3350757819290259,20.655795012124383,-0.3192381530329953,7.475767228734089
20,8,-0.15617853979301421,27.237565736540144,-0.6350550636463188,8.32262564716092
20,9,0.4535982955430228,18.724570386313253,-0.03070768770389387,6.607876638847931
30,0,0.47905611102460066,18.283162248748045,-0.23213724820355996,7.224764783465385
30,1,0.881114685641337,8.734135890544113,-0.12503654237062967,6.903629621030486
30,2,0.5288067260741257,17.38823018027783,0.09864630016250242,6.179335734265176
30,3,0.29363068204369636,21.289808392081518,-0.2212067743180477,7.192647410589417
30,4,0.24838641812711137,21.96105244352902,0.1727916682531202,5.9197261843746265
30,5,0.4180962436193133,19.323305484582825,-1.6805781649182938,10.656348298451023
30,6,0.2904416527313014,21.337812576377132,-0.1680257563330123,7.034291780376563
30,7,0.4712239626689887,18.420088919343456,-0.051682797081867404,6.674773821502123
30,8,0.7512248756364698,12.634536529408969,-0.3412123089729002,7.537770911918248
30,9,0.5460746884509277,17.06664046681196,-2.013859873637786,11.299408173963688
40,0,0.7531799401800217,12.584792696356931,-0.7164079657904638,8.527160347548685
40,1,0.7416441910616378,12.875525246974435,-0.5978277791613855,8.227334458399929
40,2,0.5807676273597522,16.401487786348206,-0.49568525865080004,7.960022138888116
40,3,0.3939253573675948,19.72054424747994,0.23359620062731457,5.698007197612949
40,4,0.7032225904156222,13.79975129012332,-0.1921400494468728,7.106533506938388
40,5,0.7417398480730181,12.873141425423613,-0.6420413511681766,8.340387213553552
40,6,0.24289290452588086,22.041162556498822,-1.082038769112176,9.39157811315188
40,7,0.8004291876205609,11.316297386676748,0.31923246702011565,5.370238658870719
40,8,0.6876564559170432,14.157028498078363,0.4772027504461791,4.706096367106454
40,9,0.7212443681302295,13.374195417496564,0.7426749261140927,3.3016818477992276
50,0,0.911752109214618,7.5250260281340875,0.20736738022199364,5.794689095517343
50,1,0.785646021544515,11.72793671058253,0.2908696088624604,5.480967389388356
50,2,0.7442723162098721,12.809869692572352,0.39100717828672427,5.079257794840092
50,3,0.8709967265672072,9.098215193661648,0.39833523797404435,5.048605746998264
50,4,0.9134838868130328,7.450824594424297,0.3576219398189294,5.216623804001501
